Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0089,-223.919987013211,-227.264955853099,-3.34496883988754,-366.091832896292,-372.781770576068,-6.68993767977508,1
RT,VP0090,-606.97190500508,-611.789674357376,-4.81776935229607,-1131.50316906858,-1141.13870777317,-9.63553870459214,1
RT,VP0091,-66.0874905014907,-65.1287260273074,0.95876447418334,-50.0627816161204,-48.1452526677537,1.91752894836668,0
RT,VP0092,-407.186568782674,-408.737736565052,-1.55116778237817,-731.55229108547,-734.654626650226,-3.10233556475634,1
RT,VP0093,-46.9622943482509,-47.3746658483329,-0.412371500082031,-12.7441209751353,-13.5688639752994,-0.824743000164062,1
RT,VP0094,-240.919176958245,-243.726662927892,-2.80748596964736,-402.365518029092,-407.980489968387,-5.61497193929472,1
RT,VP0095,205.414490307417,205.021765035616,-0.392725271800373,480.271749191234,479.486298647633,-0.785450543600746,1
RT,VP0096,-308.121156431615,-306.700014111694,1.42114231992076,-535.117336570229,-532.275051930387,2.84228463984152,0
RT,VP0097,76.5914724881598,79.9688092354947,3.37733674733491,230.943479719439,237.698153214109,6.75467349466982,0
RT,VP0098,-166.417606453575,-171.90807676771,-5.49047031413483,-250.877688057001,-261.858628685271,-10.9809406282697,1
RT,VP0099,198.5353824827,198.437422763099,-0.0979597196012776,475.013951636645,474.818032197442,-0.195919439202612,1
RT,VP0100,-381.327878510611,-382.532711911855,-1.20483340124377,-680.352976603726,-682.762643406213,-2.40966680248755,1
RT,VP0101,-194.829763686575,-197.190428663389,-2.36066497681367,-306.778470029368,-311.499799982995,-4.72132995362733,1
RT,VP0102,-169.551371026338,-173.979708800777,-4.42833777443929,-258.547267644551,-267.40394319343,-8.85667554887857,1
RT,VP0103,-332.825227467413,-332.806629677811,0.0185977896024383,-585.286043962829,-585.248848383624,0.0371955792048766,0
RT,VP0104,-63.7414405174191,-65.3613955228407,-1.61995500542162,-47.8515223665983,-51.0914323774416,-3.23991001084323,1
RT,VP0105,-693.077308330606,-692.801192093451,0.276116237155065,-1303.41857618801,-1302.8663437137,0.552232474310131,0
RT,VP0106,-296.303012058038,-296.047047040214,0.255965017823712,-510.609643322641,-510.097713286993,0.511930035647424,0
RT,VP0107,9.14325892235058,3.47337937347862,-5.66987954887196,98.0432040228739,86.70344492513,-11.3397590977439,1
RT,VP0108,192.77909179642,192.945400886585,0.166309090165271,464.475818421418,464.808436601749,0.332618180330542,0
RT,VP0109,266.846948267429,267.092954272747,0.246006005318122,612.323991179273,612.816003189909,0.492012010636245,0
RT,VP0110,19.0985260782193,17.9750854867339,-1.12344059148541,119.624103896534,117.377222713563,-2.24688118297081,1
